REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	avg	enhancerRank	isSuper
3_chr8_130546174_130552761_lociStitched	chr8	130546174	130608988	3	56249	54977.953499999996	1	1
4_chr2_43171984_43205792_lociStitched	chr2	43130058	43205792	4	60871	44014.07633333333	2	1
7_chr1_208015026_208027726_lociStitched	chr1	207997328	208109504	7	80410	43898.208000000006	3	1
3_chr12_11910085_11971257_lociStitched	chr12	11868852	11971257	3	89396	43499.937249999995	4	1
2_chr17_56393517_56395881_lociStitched	chr17	56393517	56424285	2	27699	42579.8352	5	1
8_chr16_85585569_85609303_lociStitched	chr16	85556597	85654577	8	42672	41581.079	6	1
8_chr2_43384525_43388127_lociStitched	chr2	43384525	43461954	8	50306	40732.81593333333	7	1
3_chr8_130639478_130658375_lociStitched	chr8	130639478	130721415	3	60620	39986.62161666667	8	1
3_chr21_36245030_36267417_lociStitched	chr21	36245030	36288304	3	34306	39233.65086666666	9	1
3_chrX_65212592_65243096_lociStitched	chrX	65204906	65251593	3	37746	37660.84666666667	10	1
6_chr14_74249904_74255832_lociStitched	chr14	74178570	74255832	6	39025	37439.8775	11	1
3_chr11_65237923_65247800_lociStitched	chr11	65237923	65276382	3	33104	34635.53441666666	12	1
3_chr6_37170330_37180644_lociStitched	chr6	37128216	37180644	3	39936	33674.5044	13	1
5_chr12_9957796_9967553_lociStitched	chr12	9881305	9967553	5	72632	33340.60186666667	14	1
6_chr7_5511876_5512626_lociStitched	chr7	5456936	5527460	6	33824	32971.1454	15	1
2_chr11_67033217_67058944_lociStitched	chr11	67029356	67058944	2	27984	32539.402999999995	16	1
8_chr6_7086280_7088865_lociStitched	chr6	7086280	7175096	8	46548	32528.86	17	1
4_chr20_45944042_45949535_lociStitched	chr20	45944042	45995205	4	30398	32393.85345	18	1
2_chr1_243411211_243439642_lociStitched	chr1	243411211	243452797	2	36540	32141.1263	19	1
1_chr12_54671633_54703115_lociStitched	chr12	54671633	54703115	1	31483	30721.709699999996	20	1
1_chr1_44869940_44903953_lociStitched	chr1	44869940	44903953	1	34014	30427.462916666667	21	1
chr5_134687350_134740010	chr5	134687350	134740010	1	52661	30190.855666666666	22	1
2_chr10_11200996_11226272_lociStitched	chr10	11182102	11226272	2	35345	29666.780499999997	23	1
9_chr1_235076642_235083151_lociStitched	chr1	235047393	235131237	9	49794	29661.2124	24	1
5_chr6_15274795_15278563_lociStitched	chr6	15243186	15314271	5	49816	29377.060999999998	25	1
7_chr12_118764506_118771691_lociStitched	chr12	118738946	118815801	7	38954	29076.808333333334	26	1
4_chr18_3601242_3609674_lociStitched	chr18	3593010	3627601	4	24145	28595.226666666666	27	1
2_chr11_65170131_65172824_lociStitched	chr11	65170131	65199150	2	18464	28592.4207	28	1
4_chr3_196324809_196325538_lociStitched	chr3	196324809	196390291	4	41192	28499.94913333333	29	1
3_chr1_92938406_92955080_lociStitched	chr1	92912215	92955080	3	30716	28230.17458333334	30	1
6_chr6_6748503_6752744_lociStitched	chr6	6682385	6752744	6	34614	28199.8872	31	1
1_chr17_56343313_56366422_lociStitched	chr17	56343313	56366422	1	23110	27785.106150000003	32	1
3_chr21_39838266_39855310_lociStitched	chr21	39838266	39880118	3	34553	27484.2084	33	1
3_chr9_139537895_139546878_lociStitched	chr9	139537895	139574718	3	23559	27168.0094	34	1
12_chr16_75106210_75112098_lociStitched	chr16	75022674	75147265	12	43520	27040.400033333335	35	1
9_chr3_5051241_5055578_lociStitched	chr3	5017211	5080653	9	29061	25666.518466666665	36	1
5_chr10_74056409_74059392_lociStitched	chr10	74050540	74097424	5	26372	25661.175999999996	37	1
3_chr6_135529270_135533063_lociStitched	chr6	135497236	135533063	3	26961	25490.910499999998	38	1
5_chr1_144989090_145001068_lociStitched	chr1	144989090	145031501	5	26398	25076.917449999997	39	1
3_chr9_134111607_134115083_lociStitched	chr9	134111607	134154852	3	21770	25064.802	40	1
3_chr12_111863183_111885030_lociStitched	chr12	111830966	111885030	3	36603	24964.052	41	1
3_chr8_53076091_53093962_lociStitched	chr8	53042825	53093962	3	41122	24943.776316666666	42	1
7_chr11_122624537_122628396_lociStitched	chr11	122558337	122628396	7	44729	24665.438599999998	43	1
7_chr10_49674858_49682119_lociStitched	chr10	49663109	49732480	7	39899	24601.268966666667	44	1
4_chr21_45552161_45566178_lociStitched	chr21	45552161	45593458	4	24298	24409.96841666667	45	1
4_chr9_124012734_124017651_lociStitched	chr9	124012734	124063120	4	33852	24332.239166666666	46	1
4_chr10_43910917_43917397_lociStitched	chr10	43888173	43919200	4	21636	24300.863516666665	47	1
11_chr20_30286141_30287829_lociStitched	chr20	30249121	30312117	11	33047	24206.213	48	1
3_chr3_177040207_177042276_lociStitched	chr3	177040207	177080006	3	23042	23880.726633333335	49	1
1_chr17_40461145_40476284_lociStitched	chr17	40461145	40476284	1	15140	23696.57206666667	50	1
4_chr11_47408880_47423595_lociStitched	chr11	47379369	47425882	4	27321	23661.1631	51	1
5_chr1_167584783_167589336_lociStitched	chr1	167569200	167621152	5	24214	23604.391200000002	52	1
3_chr8_108341658_108349683_lociStitched	chr8	108312498	108360622	3	43913	23332.119333333332	53	1
4_chr19_44248385_44249946_lociStitched	chr19	44248385	44289669	4	32295	23321.3316	54	1
2_chr10_89609391_89615676_lociStitched	chr10	89609391	89641005	2	28046	23287.3993	55	1
6_chr1_12520773_12525499_lociStitched	chr1	12493011	12571253	6	37372	23283.515166666668	56	1
2_chr5_150136383_150171309_lociStitched	chr5	150136383	150181535	2	36018	22972.58506666667	57	1
chr3_50623329_50651670	chr3	50623329	50651670	1	28342	22841.42895	58	1
3_chr3_171674500_171675310_lociStitched	chr3	171674500	171706014	3	25847	22808.257500000003	59	1
3_chr6_147195539_147220674_lociStitched	chr6	147195539	147238008	3	30767	22806.560816666668	60	1
2_chr12_6432078_6434869_lociStitched	chr12	6432078	6458780	2	19750	22734.527833333337	61	1
6_chr11_3873798_3878291_lociStitched	chr11	3845950	3893060	6	25231	22368.613166666666	62	1
chr19_13204875_13217332	chr19	13204875	13217332	1	12458	22358.861683333333	63	1
1_chr1_234734129_234750273_lociStitched	chr1	234734129	234750273	1	16145	22088.2208	64	1
4_chr11_128545881_128556241_lociStitched	chr11	128529428	128599767	4	50159	21998.522249999998	65	1
2_chr6_68590826_68602054_lociStitched	chr6	68590826	68609737	2	16421	21933.292983333333	66	1
3_chr17_27451336_27478029_lociStitched	chr17	27442994	27482453	3	29115	21751.116100000003	67	1
8_chr11_85851789_85863787_lociStitched	chr11	85844706	85915016	8	45059	21632.04333333333	68	1
5_chr10_73528152_73537943_lociStitched	chr10	73471909	73537943	5	35647	21564.503266666667	69	1
5_chr8_142147122_142149311_lociStitched	chr8	142126810	142176225	5	27886	21396.695000000003	70	1
3_chr12_12858470_12860059_lociStitched	chr12	12858470	12890817	3	20711	21301.57773333333	71	1
chr6_31700881_31709906	chr6	31700881	31709906	1	9026	21031.40875	72	1
7_chr15_66984626_66986124_lociStitched	chr15	66904827	66986124	7	33763	20877.069600000003	73	1
8_chr1_27847478_27860586_lociStitched	chr1	27839972	27905077	8	29415	20822.749166666665	74	1
1_chr3_128301698_128341345_lociStitched	chr3	128301698	128341345	1	39648	20646.836033333337	75	1
6_chr2_68949921_68955439_lociStitched	chr2	68936367	69004833	6	41971	20640.216800000002	76	1
4_chr1_40498246_40509339_lociStitched	chr1	40498246	40542996	4	26917	20627.5125	77	1
2_chr21_36395284_36403754_lociStitched	chr21	36395284	36424748	2	19232	20623.3268	78	1
4_chr20_52237093_52241649_lociStitched	chr20	52195017	52241649	4	24088	20616.0072	79	1
7_chr1_31200233_31202317_lociStitched	chr1	31200233	31256557	7	26919	20564.831133333333	80	1
4_chr12_12003156_12017942_lociStitched	chr12	11985077	12045992	4	38648	20512.110999999997	81	1
4_chr4_55705195_55707891_lociStitched	chr4	55664839	55707891	4	26655	20446.829866666667	82	1
1_chr1_51431579_51448712_lociStitched	chr1	51431579	51448712	1	17134	20381.9879	83	1
3_chr21_38735535_38744121_lociStitched	chr21	38727379	38752422	3	18304	20341.17675	84	1
3_chr1_155970892_155972223_lociStitched	chr1	155936039	155972223	3	21286	20271.48293333333	85	1
7_chr1_22282117_22285847_lociStitched	chr1	22228557	22285847	7	27451	20153.667166666666	86	1
7_chr17_78709936_78713678_lociStitched	chr17	78709936	78766573	7	29101	20041.9464	87	1
4_chr16_70456499_70474295_lociStitched	chr16	70437661	70474295	4	22612	19997.279466666667	88	1
3_chr22_29186633_29200982_lociStitched	chr22	29186633	29226605	3	36058	19865.4178	89	1
4_chr2_74775304_74784816_lociStitched	chr2	74765298	74814921	4	26377	19709.42855	90	1
chr6_27094481_27116497	chr6	27094481	27116497	1	22017	19475.720533333333	91	1
3_chr5_42990787_42995941_lociStitched	chr5	42990787	43021778	3	15031	19473.194850000003	92	1
5_chr17_73330992_73345174_lociStitched	chr17	73291344	73348818	5	27928	19462.612200000003	93	1
4_chr9_132640338_132652466_lociStitched	chr9	132600339	132652466	4	23414	19406.013316666667	94	1
3_chr1_28843175_28848530_lociStitched	chr1	28827280	28848530	3	14211	19337.145833333332	95	1
3_chr1_45284656_45287320_lociStitched	chr1	45271801	45301027	3	17887	19309.1311	96	1
4_chr17_40434898_40446682_lociStitched	chr17	40398636	40446682	4	28038	19109.495733333333	97	1
4_chr12_125389016_125389947_lociStitched	chr12	125389016	125426103	4	17275	19002.142566666666	98	1
2_chr1_236133343_236136405_lociStitched	chr1	236096359	236136405	2	28811	18999.157266666665	99	1
chr11_75039090_75064657	chr11	75039090	75064657	1	25568	18855.662500000002	100	1
6_chr9_132256647_132260751_lociStitched	chr9	132220084	132260751	6	21643	18829.498783333333	101	1
4_chr2_219150069_219159180_lociStitched	chr2	219150069	219200701	4	30665	18777.721066666665	102	1
3_chr18_33037678_33050172_lociStitched	chr18	33037678	33083092	3	33667	18626.5521	103	1
5_chr3_151982837_151991935_lociStitched	chr3	151941220	151991935	5	23802	18581.976	104	1
7_chr16_81525396_81532502_lociStitched	chr16	81477599	81540063	7	28980	18403.97653333333	105	1
4_chr15_75312924_75340830_lociStitched	chr15	75299177	75362429	4	33102	18385.248000000003	106	1
2_chr19_13259715_13268046_lociStitched	chr19	13259715	13279299	2	15257	18317.894399999997	107	1
2_chr1_38474075_38483221_lociStitched	chr1	38462492	38483221	2	19059	18258.448683333332	108	1
3_chr17_78841244_78857766_lociStitched	chr17	78828836	78867918	3	27655	18202.441499999997	109	1
2_chr1_26609875_26619165_lociStitched	chr1	26600618	26619165	2	17292	18167.404733333333	110	1
5_chr12_122093919_122106656_lociStitched	chr12	122057488	122106656	5	31467	18110.213333333337	111	1
4_chr12_104870198_104875079_lociStitched	chr12	104849809	104888999	4	25757	18101.207833333334	112	1
1_chr1_202126582_202136521_lociStitched	chr1	202126582	202136521	1	9940	18000.35725	113	1
3_chr1_16155910_16164803_lociStitched	chr1	16155910	16183988	3	17510	17920.7835	114	1
2_chr19_16244362_16262914_lociStitched	chr19	16221488	16262914	2	30498	17843.55906666667	115	1
2_chr14_93141249_93144172_lociStitched	chr14	93112436	93144172	2	30139	17822.9376	116	1
3_chrX_39990936_39993241_lociStitched	chrX	39990936	40036992	3	26547	17819.834	117	1
3_chr19_54873742_54878122_lociStitched	chr19	54873742	54902715	3	22478	17778.79856666667	118	1
5_chr17_80157859_80159969_lociStitched	chr17	80157859	80200840	5	24121	17756.8838	119	1
10_chr1_198578270_198582832_lociStitched	chr1	198566238	198655370	10	42327	17743.21013333333	120	1
3_chr17_79447282_79455772_lociStitched	chr17	79419189	79455772	3	19578	17707.391433333334	121	1
4_chr20_23127024_23143603_lociStitched	chr20	23105790	23143603	4	28394	17550.90395	122	1
3_chr22_19927214_19938579_lociStitched	chr22	19927214	19947418	3	16203	17489.5926	123	1
1_chr10_80883914_80912547_lociStitched	chr10	80883914	80912547	1	28634	17462.312266666668	124	1
chr10_21811467_21825098	chr10	21811467	21825098	1	13632	17456.085783333332	125	1
1_chr6_26020683_26036057_lociStitched	chr6	26020683	26036057	1	15375	17365.189233333334	126	1
5_chr19_18552834_18553507_lociStitched	chr19	18512309	18553507	5	16927	17324.445633333333	127	1
4_chr8_56755360_56758722_lociStitched	chr8	56755360	56802863	4	34903	17269.71565	128	1
7_chr2_28577874_28579541_lociStitched	chr2	28570133	28634309	7	26188	17225.908	129	1
5_chr11_59311708_59320716_lociStitched	chr11	59303998	59334319	5	17693	17170.27695	130	1
5_chr2_85725331_85731743_lociStitched	chr2	85725331	85779045	5	18559	17169.680099999998	131	1
4_chr17_73823100_73831079_lociStitched	chr17	73823100	73856424	4	20798	17157.4168	132	1
1_chr3_49839225_49852214_lociStitched	chr3	49839225	49852214	1	12990	17095.905316666667	133	1
11_chr6_26295407_26298171_lociStitched	chr6	26295407	26368002	11	31392	17075.553916666668	134	1
1_chr11_72847851_72870166_lociStitched	chr11	72847851	72870166	1	22316	17054.23875	135	1
3_chr19_12888090_12890809_lociStitched	chr19	12888090	12907432	3	16037	17039.334899999998	136	1
3_chr10_65014356_65030614_lociStitched	chr10	64992790	65034716	3	30355	17033.835033333333	137	1
4_chr1_27003779_27004506_lociStitched	chr1	27003779	27026129	4	14199	16943.535	138	1
